nltk_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/__init__.py__fake_PIPE,1.0,0,0,[],[]
/__init__.py__fake_Popen,1.0,0,0,[],[]
/__init__.py_demo,1.0,0,0,[],[]
/app/chartparser_app.py___init__,1.0,0,0,[],[]
/app/chartparser_app.py___str__,1.0,0,0,[],[]
/app/chartparser_app.py__add,1.0,0,0,[],[]
/app/chartparser_app.py__add_edge,1.0,0,0,[],[]
/app/chartparser_app.py__analyze,1.0,0,0,[],[]
/app/chartparser_app.py__analyze_edge,1.0,0,0,[],[]
/app/chartparser_app.py__animate_strategy,1.0,0,0,[],[]
/app/chartparser_app.py__apply_op,1.0,0,0,[],[]
/app/chartparser_app.py__apply_strategy,1.0,0,0,[],[]
/app/chartparser_app.py__checkcompat,1.0,0,0,[],[]
/app/chartparser_app.py__clear_out_chart,1.0,0,0,[],[]
/app/chartparser_app.py__click,1.0,0,0,[],[]
/app/chartparser_app.py__click_cell,1.0,0,0,[],[]
/app/chartparser_app.py__click_cv_edge,1.0,0,0,[],[]
/app/chartparser_app.py__color,1.0,0,0,[],[]
/app/chartparser_app.py__color_edge,1.0,0,0,[],[]
/app/chartparser_app.py__configure,1.0,0,0,[],[]
/app/chartparser_app.py__deselect_edge,1.0,0,0,[],[]
/app/chartparser_app.py__detach_out,1.0,0,0,[],[]
/app/chartparser_app.py__difference,1.0,0,0,[],[]
/app/chartparser_app.py__display_rule,1.0,0,0,[],[]
/app/chartparser_app.py__draw_edge,1.0,0,0,[],[]
/app/chartparser_app.py__draw_loclines,1.0,0,0,[],[]
/app/chartparser_app.py__draw_sentence,1.0,0,0,[],[]
/app/chartparser_app.py__draw_treecycle,1.0,0,0,[],[]
/app/chartparser_app.py__draw_treetok,1.0,0,0,[],[]
/app/chartparser_app.py__edge_conflict,1.0,0,0,[],[]
/app/chartparser_app.py__fire_callbacks,1.0,0,0,[],[]
/app/chartparser_app.py__grow,1.0,0,0,[],[]
/app/chartparser_app.py__init_animation,1.0,0,0,[],[]
/app/chartparser_app.py__init_bindings,1.0,0,0,[],[]
/app/chartparser_app.py__init_buttons,1.0,0,0,[],[]
/app/chartparser_app.py__init_chartview,1.0,0,0,[],[]
/app/chartparser_app.py__init_chartviews,1.0,0,0,[],[]
/app/chartparser_app.py__init_colortags,1.0,0,0,[],[]
/app/chartparser_app.py__init_divider,1.0,0,0,[],[]
/app/chartparser_app.py__init_fonts,1.0,0,0,[],[]
/app/chartparser_app.py__init_list,1.0,0,0,[],[]
/app/chartparser_app.py__init_matrix,1.0,0,0,[],[]
/app/chartparser_app.py__init_menubar,1.0,0,0,[],[]
/app/chartparser_app.py__init_numedges,1.0,0,0,[],[]
/app/chartparser_app.py__init_parser,1.0,0,0,[],[]
/app/chartparser_app.py__init_quit,1.0,0,0,[],[]
/app/chartparser_app.py__init_rulelabel,1.0,0,0,[],[]
/app/chartparser_app.py__intersection,1.0,0,0,[],[]
/app/chartparser_app.py__item_repr,1.0,0,0,[],[]
/app/chartparser_app.py__reset_parser,1.0,0,0,[],[]
/app/chartparser_app.py__resize,1.0,0,0,[],[]
/app/chartparser_app.py__sb_canvas,1.0,0,0,[],[]
/app/chartparser_app.py__select_edge,1.0,0,0,[],[]
/app/chartparser_app.py__select_left,1.0,0,0,[],[]
/app/chartparser_app.py__select_matrix_edge,1.0,0,0,[],[]
/app/chartparser_app.py__select_right,1.0,0,0,[],[]
/app/chartparser_app.py__show_new_edge,1.0,0,0,[],[]
/app/chartparser_app.py__stop_animation,1.0,0,0,[],[]
/app/chartparser_app.py__swapcharts,1.0,0,0,[],[]
/app/chartparser_app.py__union,1.0,0,0,[],[]
/app/chartparser_app.py__update,1.0,0,0,[],[]
/app/chartparser_app.py__update_chartviews,1.0,0,0,[],[]
/app/chartparser_app.py_about,1.0,0,0,[],[]
/app/chartparser_app.py_activate,1.0,0,0,[],[]
/app/chartparser_app.py_add_callback,1.0,0,0,[],[]
