,index,nltk_function,num_np_calls,np_calls,np_calls_w_args
0,3266,/tag/hmm.py__create_cache,6,"['zeros', 'float32', 'zeros', 'float32', 'zeros', 'float32']","['zeros(N, np.float32)', 'zeros((N, N), np.float32)', 'zeros((N, M), np.float32)']"
1,3299,/tag/hmm.py__market_hmm_example,6,"['array', 'float64', 'array', 'float64', 'array', 'float64']","['array([[0.6, 0.2, 0.2], [0.5, 0.3, 0.2], [0.4, 0.1, 0.5]], np.float64)', 'array([[0.7, 0.1, 0.2], [0.1, 0.6, 0.3], [0.3, 0.3, 0.4]], np.float64)', 'array([0.5, 0.2, 0.3], np.float64)']"
2,2930,/inference/nonmonotonic.py_unique_names_demo,6,"['assumptions', 'goal', 'prove', 'assumptions', 'goal', 'prove']","['assumptions()', 'goal())', 'prove())', 'assumptions()', 'goal())', 'prove())']"
3,3270,/tag/hmm.py__best_path,5,"['zeros', 'float32', 'ones', 'argmax', 'argmax']","['zeros((T, N), np.float32)', 'ones((T, N), int)', 'argmax(vs)', 'argmax(V[T - 1, :])']"
4,3276,/tag/hmm.py_point_entropy,4,"['zeros', 'float64', 'zeros', 'float64']","['zeros(T, np.float64)', 'zeros(N, np.float64)']"
5,3290,/tag/hmm.py__baum_welch_step,4,"['logaddexp2', 'logaddexp2', 'logaddexp2', 'logaddexp2']","['logaddexp2(A_numer, numer_add)', 'logaddexp2(A_denom, alpha_plus_beta)', 'logaddexp2(A_denom, alpha_plus_beta)', 'logaddexp2(B_numer[:, xi], alpha_plus_beta)']"
6,3291,/tag/hmm.py_train_unsupervised,4,"['logaddexp2', 'logaddexp2', 'logaddexp2', 'logaddexp2']","['logaddexp2(A_numer[i], seq_A_numer[i] - lpk)', 'logaddexp2(B_numer[i], seq_B_numer[i] - lpk)', 'logaddexp2(A_denom, seq_A_denom - lpk)', 'logaddexp2(B_denom, seq_B_denom - lpk)']"
7,1986,/metrics/segmentation.py__init_mat,3,"['empty', 'arange', 'arange']","['empty((nrows, ncols))', 'arange(ncols)', 'arange(nrows)']"
8,3267,/tag/hmm.py__update_cache,3,"['hstack', 'zeros', 'float32']","['hstack([O, np.zeros((N, M - Q), np.float32)])']"
9,3215,/tag/perceptron.py__softmax,3,"['fromiter', 'exp', 'sum']","['fromiter(scores.values(), dtype=float)', 'exp(s)', 'sum(exps)']"
10,3293,/tag/hmm.py__ninf_array,3,"['empty', 'float64', 'inf']","['empty(shape, np.float64)']"
