sklearn_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/__check_build/__init__.py_raise_build_error,1.0,0,0,[],[]
/__init__.py_setup_module,0.5,4,2,['int32' 'iinfo' 'random.seed' 'random.uniform'],['dtypes.int32' 'pdarraycreation.uniform']
/_build_utils/__init__.py__check_cython_version,1.0,0,0,[],[]
/_build_utils/__init__.py_cythonize_extensions,1.0,0,0,[],[]
/_build_utils/__init__.py_gen_from_templates,1.0,0,0,[],[]
/_build_utils/openmp_helpers.py_check_openmp_support,1.0,0,0,[],[]
/_build_utils/openmp_helpers.py_get_openmp_flag,1.0,0,0,[],[]
/_build_utils/pre_build_helpers.py_basic_check_build,1.0,0,0,[],[]
/_build_utils/pre_build_helpers.py_compile_test_program,1.0,0,0,[],[]
/_build_utils/tempita.py_main,1.0,0,0,[],[]
/_build_utils/tempita.py_process_tempita,1.0,0,0,[],[]
/_config.py__get_threadlocal_config,1.0,0,0,[],[]
/_config.py_config_context,1.0,0,0,[],[]
/_config.py_get_config,1.0,0,0,[],[]
/_config.py_set_config,1.0,0,0,[],[]
/_loss/link.py___post_init__,1.0,0,0,[],[]
/_loss/link.py__inclusive_low_high,0.33,3,1,['inf' 'float64' 'finfo'],['dtypes.float64']
/_loss/link.py_includes,1.0,6,6,['all' 'less' 'less_equal' 'greater_equal' 'all' 'greater'],"['array_api._utility_functions.all'
 'array_api._elementwise_functions.less'
 'array_api._elementwise_functions.less_equal'
 'array_api._elementwise_functions.greater_equal' 'pdarrayclass.all'
 'array_api._elementwise_functions.greater']"
/_loss/link.py_inverse,0.67,3,2,['copyto' 'exp' 'exp'],['numeric.exp' 'array_api._elementwise_functions.exp']
/_loss/link.py_link,0.5,4,2,['newaxis' 'copyto' 'log' 'log'],['array_api._elementwise_functions.log' 'numeric.log']
/_loss/link.py_symmetrize_raw_prediction,0.67,3,2,['mean' 'newaxis' 'mean'],['pdarrayclass.mean' 'array_api._statistical_functions.mean']
/_loss/loss.py___call__,0.0,1,0,['average'],[]
/_loss/loss.py___init__,0.0,1,0,['inf'],[]
/_loss/loss.py_constant_to_optimal_zero,0.88,8,7,['maximum' 'log' 'zeros_like' 'log' 'zeros_like' 'power' 'sqrt' 'sqrt'],"['array_api._elementwise_functions.log' 'pdarraycreation.zeros_like'
 'numeric.log' 'array_api._creation_functions.zeros_like'
 'pdarrayclass.power' 'array_api._elementwise_functions.sqrt'
 'pdarrayclass.sqrt']"
/_loss/loss.py_fit_intercept_only,0.33,12,4,"['clip' 'average' 'sign' 'zeros' 'median' 'sign' 'percentile' 'minimum'
 'finfo' 'abs' 'zeros' 'inf']","['numeric.sign' 'array_api._creation_functions.zeros'
 'array_api._elementwise_functions.sign' 'pdarraycreation.zeros']"
/_loss/loss.py_gradient,1.0,0,0,[],[]
/_loss/loss.py_gradient_hessian,1.0,0,0,[],[]
/_loss/loss.py_gradient_proba,1.0,0,0,[],[]
/_loss/loss.py_in_y_pred_range,1.0,0,0,[],[]
/_loss/loss.py_in_y_true_range,1.0,2,2,['all' 'all'],['pdarrayclass.all' 'array_api._utility_functions.all']
